play,act,scene,location,entity_text,spacy_label,label_description,start_char,end_char
MACBETH,1,1,An open Place.,THREE,CARDINAL,Numerals that do not fall under another type,29,34
MACBETH,1,1,An open Place.,FIRST,ORDINAL,"""first"", ""second"", etc.",44,49
MACBETH,1,1,An open Place.,GRAYMALKIN,PERSON,"People, including fictional",366,376
MACBETH,1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",26,32
MACBETH,1,2,A Camp near Forres.,MALCOLM,PERSON,"People, including fictional",34,41
MACBETH,1,2,A Camp near Forres.,DONALBAIN,PERSON,"People, including fictional",43,52
MACBETH,1,2,A Camp near Forres.,LENNOX,PERSON,"People, including fictional",54,60
MACBETH,1,2,A Camp near Forres.,ATTENDANTS,PERSON,"People, including fictional",67,77
MACBETH,1,2,A Camp near Forres.,CAPTIVITY.—HAIL,GPE,"Countries, cities, states",297,312
MACBETH,1,2,A Camp near Forres.,TWO,CARDINAL,Numerals that do not fall under another type,426,429
MACBETH,1,2,A Camp near Forres.,THE WESTERN ISLES,LOC,"Non-GPE locations, mountain ranges, bodies of water",610,627
MACBETH,1,2,A Camp near Forres.,KERNS,GPE,"Countries, cities, states",631,636
MACBETH,1,2,A Camp near Forres.,FORTUNE,WORK_OF_ART,"Titles of books, songs, etc.",672,679
MACBETH,1,2,A Camp near Forres.,DISDAINING FORTUNE,PERSON,"People, including fictional",809,827
MACBETH,1,2,A Camp near Forres.,VALOUR,ORG,"Companies, agencies, institutions, etc.",897,903
MACBETH,1,2,A Camp near Forres.,THAT SPRING,DATE,Absolute or relative dates or periods,1252,1263
MACBETH,1,2,A Camp near Forres.,MARK,PERSON,"People, including fictional",1314,1318
MACBETH,1,2,A Camp near Forres.,SCOTLAND,GPE,"Countries, cities, states",1328,1336
MACBETH,1,2,A Camp near Forres.,KERNS,ORG,"Companies, agencies, institutions, etc.",1411,1416
MACBETH,1,2,A Camp near Forres.,NORWEYAN,NORP,Nationalities or religious or political groups,1447,1455
MACBETH,1,2,A Camp near Forres.,MACBETH AND BANQUO?,WORK_OF_ART,"Titles of books, songs, etc.",1589,1608
MACBETH,1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional",2058,2062
MACBETH,1,2,A Camp near Forres.,ANGUS,PERSON,"People, including fictional",2067,2072
MACBETH,1,2,A Camp near Forres.,THANE,GPE,"Countries, cities, states",2110,2115
MACBETH,1,2,A Camp near Forres.,FIFE,GPE,"Countries, cities, states",2302,2306
MACBETH,1,2,A Camp near Forres.,NORWAY,GPE,"Countries, cities, states",2386,2392
MACBETH,1,2,A Camp near Forres.,BELLONA,PERSON,"People, including fictional",2521,2528
MACBETH,1,2,A Camp near Forres.,POINT,ORG,"Companies, agencies, institutions, etc.",2598,2603
