play,act,scene,location,entity_text,spacy_label,label_description,start_char,end_char
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,PHILOSTRATE,PERSON,"People, including fictional",26,37
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,THESEUS,ORG,"Companies, agencies, institutions, etc.",54,61
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HIPPOLYTA,ORG,"Companies, agencies, institutions, etc.",73,82
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,FOUR HAPPY DAYS,DATE,Absolute or relative dates or periods,117,132
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,LONG,PERSON,"People, including fictional",262,266
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,FOUR DAYS,DATE,Absolute or relative dates or periods,315,324
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,NIGHT,TIME,Times smaller than a day,358,363
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,FOUR NIGHTS,TIME,Times smaller than a day,365,376
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,ATHENIAN,NORP,Nationalities or religious or political groups,552,560
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,EGEUS,PERSON,"People, including fictional",882,887
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HERMIA,GPE,"Countries, cities, states",889,895
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,LYSANDER,PERSON,"People, including fictional",897,905
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,DEMETRIUS,ORG,"Companies, agencies, institutions, etc.",910,919
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,THESEUS,PERSON,"People, including fictional",965,972
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,EGEUS,ORG,"Companies, agencies, institutions, etc.",1021,1026
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HERMIA,PERSON,"People, including fictional",1098,1104
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,GAUD,ORG,"Companies, agencies, institutions, etc.",1536,1541
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,KNACKS,GPE,"Countries, cities, states",1553,1559
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,NOSEGAY,ORG,"Companies, agencies, institutions, etc.",1570,1578
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,DEMETRIUS,PERSON,"People, including fictional",1853,1862
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,ATHEN,GPE,"Countries, cities, states",1895,1901
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,ONE,CARDINAL,Numerals that do not fall under another type,2146,2149
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HERMIA,ORG,"Companies, agencies, institutions, etc.",2339,2345
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,GRACE,PERSON,"People, including fictional",2606,2611
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,THAT DAY,DATE,Absolute or relative dates or periods,3764,3772
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,DIANA,PERSON,"People, including fictional",3880,3885
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,CRAZÈD,GPE,"Countries, cities, states",3998,4004
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,SCORNFUL LYSANDER,PERSON,"People, including fictional",4128,4145
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,NEDAR,PERSON,"People, including fictional",4628,4633
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HELENA,ORG,"Companies, agencies, institutions, etc.",4646,4652
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,YEARS,DATE,Absolute or relative dates or periods,5971,5976
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,SWIFT,PERSON,"People, including fictional",6259,6264
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,SEVEN,CARDINAL,Numerals that do not fall under another type,6920,6925
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,TOMORROW NIGHT,TIME,Times smaller than a day,7126,7140
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,MAY,DATE,Absolute or relative dates or periods,7255,7258
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,CUPID,ORG,"Companies, agencies, institutions, etc.",7334,7339
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,VENUS,ORG,"Companies, agencies, institutions, etc.",7418,7423
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,TROJAN,ORG,"Companies, agencies, institutions, etc.",7545,7551
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,TOMORROW,DATE,Absolute or relative dates or periods,7697,7705
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,WHITHER,PERSON,"People, including fictional",7835,7842
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HELEN,PERSON,"People, including fictional",9110,9115
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,PHOEBE,PERSON,"People, including fictional",9171,9177
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,MORROW DEEP MIDNIGHT,TIME,Times smaller than a day,9787,9807
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,LOVE,WORK_OF_ART,"Titles of books, songs, etc.",10212,10216
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,STARVELE,GPE,"Countries, cities, states",45,55
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,QUINCE,PERSON,"People, including fictional",57,63
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,DUCHESS,PERSON,"People, including fictional",306,313
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,FIRST,ORDINAL,"""first"", ""second"", etc.",352,357
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,PETER QUINCE,PERSON,"People, including fictional",364,376
