play,act,scene,location,entity_text,spacy_label,label_description,start_char,end_char
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Hero,ORG,"Companies, agencies, institutions, etc.",15,19
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Beatrice,ORG,"Companies, agencies, institutions, etc.",21,29
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Don Pedro,PERSON,"People, including fictional",97,106
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Arragon,GPE,"Countries, cities, states",110,117
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,this night,TIME,Times smaller than a day,124,134
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Messina,GPE,"Countries, cities, states",138,145
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,three,CARDINAL,Numerals that do not fall under another type,194,199
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,MESSENGER,PERSON,"People, including fictional",287,296
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Don Pedro,PERSON,"People, including fictional",433,442
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Florentine,PERSON,"People, including fictional",480,490
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Claudio,PERSON,"People, including fictional",498,505
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Don Pedro,PERSON,"People, including fictional",571,580
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Messina,GPE,"Countries, cities, states",807,814
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,MESSENGER,PERSON,"People, including fictional",845,854
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,MESSENGER,PERSON,"People, including fictional",1056,1065
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Mountanto,PERSON,"People, including fictional",1273,1282
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,Benedick,PERSON,"People, including fictional",1476,1484
