play,act,scene,location,entity_text,spacy_label,label_description,start_char,end_char
THE TRAGEDY OF ROMEO AND JULIET,0,0,Prologue,Enter Chorus,ORG,"Companies, agencies, institutions, etc.",0,12
THE TRAGEDY OF ROMEO AND JULIET,0,0,Prologue,CHORUS,ORG,"Companies, agencies, institutions, etc.",14,20
THE TRAGEDY OF ROMEO AND JULIET,0,0,Prologue,Two,CARDINAL,Numerals that do not fall under another type,22,25
THE TRAGEDY OF ROMEO AND JULIET,0,0,Prologue,Verona,PERSON,"People, including fictional",69,75
THE TRAGEDY OF ROMEO AND JULIET,0,0,Prologue,two,CARDINAL,Numerals that do not fall under another type,223,226
THE TRAGEDY OF ROMEO AND JULIET,0,0,Prologue,the two hours,TIME,Times smaller than a day,521,534
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Gregory,PERSON,"People, including fictional",18,25
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Gregory,PERSON,"People, including fictional",67,74
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Montague,GPE,"Countries, cities, states",390,398
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,GREGORY,PERSON,"People, including fictional",409,416
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Montague,ORG,"Companies, agencies, institutions, etc.",614,622
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Montague,ORG,"Companies, agencies, institutions, etc.",812,820
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,GREGORY,PERSON,"People, including fictional",1082,1089
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,GREGORY,PERSON,"People, including fictional",1356,1363
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,John,PERSON,"People, including fictional",1430,1434
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Montagues,PERSON,"People, including fictional",1478,1487
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Balthasar,PERSON,"People, including fictional",1505,1514
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,GREGORY,PERSON,"People, including fictional",1576,1583
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,GREGORY,PERSON,"People, including fictional",2062,2069
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,GREGORY,PERSON,"People, including fictional",2154,2161
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Gregory,PERSON,"People, including fictional",2474,2481
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Benvolio,PERSON,"People, including fictional",2698,2706
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,BENVOLIO,PERSON,"People, including fictional",2729,2737
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Montagues,PERSON,"People, including fictional",2898,2907
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,three,CARDINAL,Numerals that do not fall under another type,2959,2964
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,four,CARDINAL,Numerals that do not fall under another type,2968,2972
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Citizens,ORG,"Companies, agencies, institutions, etc.",2973,2981
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,FIRST,ORDINAL,"""first"", ""second"", etc.",2994,2999
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Lady Capulet,PERSON,"People, including fictional",3141,3153
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,CAPULET,ORG,"Companies, agencies, institutions, etc.",3155,3162
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,CAPULET,ORG,"Companies, agencies, institutions, etc.",3271,3278
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Enter Montague,ORG,"Companies, agencies, institutions, etc.",3360,3374
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Lady Montague,PERSON,"People, including fictional",3383,3396
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,MONTAGUE,DATE,Absolute or relative dates or periods,3398,3406
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Capulet,PERSON,"People, including fictional",3421,3428
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,MONTAGUE,DATE,Absolute or relative dates or periods,3459,3467
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Profaners,ORG,"Companies, agencies, institutions, etc.",3599,3608
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Three,CARDINAL,Numerals that do not fall under another type,3919,3924
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Capulet,PERSON,"People, including fictional",3974,3981
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Montague,GPE,"Countries, cities, states",3987,3995
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Verona,PERSON,"People, including fictional",4054,4060
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Canker'd,ORG,"Companies, agencies, institutions, etc.",4162,4170
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,canker'd,ORG,"Companies, agencies, institutions, etc.",4196,4204
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Capulet,PERSON,"People, including fictional",4342,4349
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Montague,PERSON,"People, including fictional",4379,4387
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,this afternoon,TIME,Times smaller than a day,4398,4412
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Capulet,PERSON,"People, including fictional",4578,4585
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Lady Capulet,PERSON,"People, including fictional",4587,4599
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,MONTAGUE,DATE,Absolute or relative dates or periods,4632,4640
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,MONTAGUE,DATE,Absolute or relative dates or periods,5186,5194
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,Romeo,ORG,"Companies, agencies, institutions, etc.",5207,5212
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,today,DATE,Absolute or relative dates or periods,5226,5231
