act,scene,location,entity_text,spacy_label,label_description,start_char,end_char
1,1,An open Place.,three,CARDINAL,Numerals that do not fall under another type,29,34
1,1,An open Place.,FIRST,ORDINAL,"""first"", ""second"", etc.",44,49
1,1,An open Place.,three,CARDINAL,Numerals that do not fall under another type,71,76
1,1,An open Place.,FIRST,ORDINAL,"""first"", ""second"", etc.",244,249
1,1,An open Place.,FIRST,ORDINAL,"""first"", ""second"", etc.",345,350
1,1,An open Place.,Graymalkin,PERSON,"People, including fictional",366,376
1,2,A Camp near Forres.,Alarum,PERSON,"People, including fictional",0,6
1,2,A Camp near Forres.,Duncan,PERSON,"People, including fictional",26,32
1,2,A Camp near Forres.,Malcolm,PERSON,"People, including fictional",34,41
1,2,A Camp near Forres.,Donalbain,PERSON,"People, including fictional",43,52
1,2,A Camp near Forres.,Lennox,PERSON,"People, including fictional",54,60
1,2,A Camp near Forres.,Attendants,PERSON,"People, including fictional",67,77
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",107,113
1,2,A Camp near Forres.,MALCOLM,PERSON,"People, including fictional",213,220
1,2,A Camp near Forres.,captivity.—Hail,GPE,"Countries, cities, states",297,312
1,2,A Camp near Forres.,two,CARDINAL,Numerals that do not fall under another type,426,429
1,2,A Camp near Forres.,the Western Isles,LOC,"Non-GPE locations, mountain ranges, bodies of water",610,627
1,2,A Camp near Forres.,kerns,GPE,"Countries, cities, states",631,636
1,2,A Camp near Forres.,Fortune,WORK_OF_ART,"Titles of books, songs, etc.",672,679
1,2,A Camp near Forres.,Disdaining Fortune,PERSON,"People, including fictional",809,827
1,2,A Camp near Forres.,Valour,ORG,"Companies, agencies, institutions, etc.",897,903
1,2,A Camp near Forres.,carv'd,PRODUCT,"Objects, vehicles, foods, etc. (not services)",914,920
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",1104,1110
1,2,A Camp near Forres.,that spring,DATE,Absolute or relative dates or periods,1252,1263
1,2,A Camp near Forres.,Mark,PERSON,"People, including fictional",1314,1318
1,2,A Camp near Forres.,Scotland,GPE,"Countries, cities, states",1328,1336
1,2,A Camp near Forres.,kerns,ORG,"Companies, agencies, institutions, etc.",1411,1416
1,2,A Camp near Forres.,Norweyan,NORP,Nationalities or religious or political groups,1447,1455
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",1549,1555
1,2,A Camp near Forres.,Dismay'd,ORG,"Companies, agencies, institutions, etc.",1557,1565
1,2,A Camp near Forres.,Macbeth and Banquo?,WORK_OF_ART,"Titles of books, songs, etc.",1589,1608
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",1926,1932
1,2,A Camp near Forres.,Exit Captain,PERSON,"People, including fictional",2028,2040
1,2,A Camp near Forres.,Ross,PERSON,"People, including fictional",2058,2062
1,2,A Camp near Forres.,Angus,PERSON,"People, including fictional",2067,2072
1,2,A Camp near Forres.,MALCOLM,PERSON,"People, including fictional",2090,2097
1,2,A Camp near Forres.,Thane,GPE,"Countries, cities, states",2110,2115
1,2,A Camp near Forres.,Ross,PERSON,"People, including fictional",2119,2123
1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional",2224,2228
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",2249,2255
1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional",2291,2295
1,2,A Camp near Forres.,Fife,GPE,"Countries, cities, states",2302,2306
1,2,A Camp near Forres.,Norweyan,NORP,Nationalities or religious or political groups,2330,2338
1,2,A Camp near Forres.,Norway,GPE,"Countries, cities, states",2386,2392
1,2,A Camp near Forres.,Bellona,PERSON,"People, including fictional",2521,2528
1,2,A Camp near Forres.,Point,ORG,"Companies, agencies, institutions, etc.",2598,2603
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",2716,2722
1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional",2741,2745
1,2,A Camp near Forres.,Sweno,PERSON,"People, including fictional",2756,2761
1,2,A Camp near Forres.,Norways,GPE,"Countries, cities, states",2767,2774
1,2,A Camp near Forres.,Saint Colme's,GPE,"Countries, cities, states",2864,2877
1,2,A Camp near Forres.,Ten thousand dollars,MONEY,"Monetary values, including unit",2883,2903
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",2924,2930
1,2,A Camp near Forres.,Thane,GPE,"Countries, cities, states",2945,2950
1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional",3068,3072
1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",3092,3098
1,3,A heath.,three,CARDINAL,Numerals that do not fall under another type,19,24
1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",34,39
1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",139,144
1,3,A heath.,Aleppo,NORP,Nationalities or religious or political groups,322,328
1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",490,495
1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",544,549
1,3,A heath.,shipman,PERSON,"People, including fictional",655,662
1,3,A heath.,sev'n-nights,DATE,Absolute or relative dates or periods,798,810
1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",974,979
1,3,A heath.,nine,CARDINAL,Numerals that do not fall under another type,1268,1272
1,3,A heath.,Enter Macbeth and Banquo,WORK_OF_ART,"Titles of books, songs, etc.",1303,1327
1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",1805,1810
1,3,A heath.,Thane,GPE,"Countries, cities, states",1851,1856
1,3,A heath.,Glamis,GPE,"Countries, cities, states",1860,1866
1,3,A heath.,Thane,GPE,"Countries, cities, states",1915,1920
1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",2470,2475
1,3,A heath.,Macbeth and Banquo,WORK_OF_ART,"Titles of books, songs, etc.",2690,2708
1,3,A heath.,FIRST,ORDINAL,"""first"", ""second"", etc.",2710,2715
1,3,A heath.,Banquo,PERSON,"People, including fictional",2723,2729
1,3,A heath.,Sinel,PERSON,"People, including fictional",2809,2814
1,3,A heath.,Glamis,GPE,"Countries, cities, states",2844,2850
1,3,A heath.,Whither,PERSON,"People, including fictional",3245,3252
1,3,A heath.,Ross,PERSON,"People, including fictional",3670,3674
1,3,A heath.,Angus,PERSON,"People, including fictional",3679,3684
1,3,A heath.,ROSS,PERSON,"People, including fictional",3686,3690
1,3,A heath.,Norweyan,NORP,Nationalities or religious or political groups,3981,3989
1,3,A heath.,ANGUS,ORG,"Companies, agencies, institutions, etc.",4202,4207
1,3,A heath.,ROSS,PERSON,"People, including fictional",4314,4318
1,3,A heath.,Thane,PERSON,"People, including fictional",4393,4398
1,3,A heath.,ANGUS,ORG,"Companies, agencies, institutions, etc.",4586,4591
1,3,A heath.,Thane,GPE,"Countries, cities, states",4605,4610
1,3,A heath.,Norway,GPE,"Countries, cities, states",4729,4735
1,3,A heath.,Glamis,PERSON,"People, including fictional",4936,4942
1,3,A heath.,Thane,GPE,"Countries, cities, states",4948,4953
1,3,A heath.,Ross,PERSON,"People, including fictional",4992,4996
1,3,A heath.,Angus,PERSON,"People, including fictional",5001,5006
1,3,A heath.,Banquo,PERSON,"People, including fictional",5034,5040
