play,act,scene,location,entity_text,label,label_description
MACBETH,1,1,An open Place.,THE HEATH,LOCATION,LOCATION
MACBETH,1,1,An open Place.,THIRD,GPE,"Countries, cities, states"
MACBETH,1,1,An open Place.,MACBETH,PERSON,"People, including fictional"
MACBETH,1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional"
MACBETH,1,2,A Camp near Forres.,MALCOLM,PERSON,"People, including fictional"
MACBETH,1,2,A Camp near Forres.,DONALBAIN,PERSON,"People, including fictional"
MACBETH,1,2,A Camp near Forres.,LENNOX,PERSON,"People, including fictional"
MACBETH,1,2,A Camp near Forres.,KING OF SCOTLAND,TITLE,TITLE
MACBETH,1,2,A Camp near Forres.,BANQUO,PERSON,"People, including fictional"
MACBETH,1,2,A Camp near Forres.,ROSS,PERSON,"People, including fictional"
MACBETH,1,2,A Camp near Forres.,ANGUS,PERSON,"People, including fictional"
MACBETH,1,2,A Camp near Forres.,THANE OF ROSS,TITLE,TITLE
MACBETH,1,2,A Camp near Forres.,FIFE,GPE,"Countries, cities, states"
MACBETH,1,2,A Camp near Forres.,NORWAY,GPE,"Countries, cities, states"
MACBETH,1,2,A Camp near Forres.,THANE OF CAWDOR,TITLE,TITLE
MACBETH,1,2,A Camp near Forres.,NORWAYS,GPE,"Countries, cities, states"
MACBETH,1,2,A Camp near Forres.,SAINT COLME'S INCH,GPE,"Countries, cities, states"
MACBETH,1,3,A heath.,AROINT,GPE,"Countries, cities, states"
MACBETH,1,3,A heath.,ALEPPO,GPE,"Countries, cities, states"
MACBETH,1,3,A heath.,THANE OF GLAMIS,TITLE,TITLE
MACBETH,1,3,A heath.,FIRST,TITLE,TITLE
MACBETH,1,3,A heath.,THANE LIVES YET,TITLE,TITLE
MACBETH,1,4,Forres. A Room in the Palace.,INVERNESS,GPE,"Countries, cities, states"
MACBETH,1,4,Forres. A Room in the Palace.,A PEERLESS KINSMAN,REL,REL
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,LADY MACBETH,PERSON,"People, including fictional"
MACBETH,1,6,The same. Before the Castle.,SERVANTS,REL,REL
MACBETH,1,6,The same. Before the Castle.,MACDUFF,PERSON,"People, including fictional"
MACBETH,1,6,The same. Before the Castle.,THIS CASTLE,LOCATION,LOCATION
MACBETH,2,1,Inverness. Court within the Castle.,FLEANCE,PERSON,"People, including fictional"
MACBETH,2,1,Inverness. Court within the Castle.,SERVANT,REL,REL
MACBETH,2,2,The same.,HARK!—WHO,TITLE,TITLE
MACBETH,2,3,The same.,THE GATE,LOCATION,LOCATION
MACBETH,2,3,The same.,ENGLAND,GPE,"Countries, cities, states"
MACBETH,2,4,The same. Without the Castle.,MAN,TITLE,TITLE
MACBETH,3,1,Forres. A Room in the Palace.,THE PALACE,LOCATION,LOCATION
MACBETH,3,1,Forres. A Room in the Palace.,SERVANT,TITLE,TITLE
MACBETH,3,1,Forres. A Room in the Palace.,SHOUGHS,GPE,"Countries, cities, states"
MACBETH,3,1,Forres. A Room in the Palace.,MURDERER,TITLE,TITLE
MACBETH,3,2,The same. Another Room in the Palace.,ROOKY WOOD,LOCATION,LOCATION
MACBETH,3,5,The heath.,HECATE,PERSON,"People, including fictional"
MACBETH,3,6,Forres. A Room in the Palace.,SON,REL,REL
MACBETH,3,6,Forres. A Room in the Palace.,NORTHUMBERLAND,GPE,"Countries, cities, states"
MACBETH,3,6,Forres. A Room in the Palace.,SIWARD,PERSON,"People, including fictional"
MACBETH,3,6,Forres. A Room in the Palace.,THE COURT,LOCATION,LOCATION
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",THANE OF FIFE.—DISMISS,TITLE,TITLE
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",WHATE'ER,GPE,"Countries, cities, states"
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",BIRNAM,GPE,"Countries, cities, states"
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",DUNSINANE,GPE,"Countries, cities, states"
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",SIGHT!—NOW,TITLE,TITLE
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",THE CASTLE,LOCATION,LOCATION
MACBETH,4,2,Fife. A Room in Macduff's Castle.,LADY MACDUFF,PERSON,"People, including fictional"
MACBETH,4,3,England. Before the King's Palace.,SCOTLAND,GPE,"Countries, cities, states"
MACBETH,5,1,Dunsinane. A Room in the Castle.,DOCTOR,REL,REL
MACBETH,5,1,Dunsinane. A Room in the Castle.,WAITING-GENTLEWOMAN,REL,REL
MACBETH,5,1,Dunsinane. A Room in the Castle.,THE FIELD,LOCATION,LOCATION
MACBETH,5,1,Dunsinane. A Room in the Castle.,THANE OF FIFE,TITLE,TITLE
MACBETH,5,2,The Country near Dunsinane.,MENTEITH,PERSON,"People, including fictional"
MACBETH,5,2,The Country near Dunsinane.,CAITHNESS,PERSON,"People, including fictional"
MACBETH,5,3,Dunsinane. A Room in the Castle.,SEYTON,PERSON,"People, including fictional"
MACBETH,5,3,Dunsinane. A Room in the Castle.,RAZE,GPE,"Countries, cities, states"
MACBETH,5,5,Dunsinane. Within the castle.,A WOOD,LOCATION,LOCATION
MACBETH,5,5,Dunsinane. Within the castle.,DUNSINANE.—ARM,GPE,"Countries, cities, states"
MACBETH,5,7,The same. Another part of the Plain.,YOUNG SIWARD,PERSON,"People, including fictional"
MACBETH,5,7,The same. Another part of the Plain.,LORD;—THE CASTLE,LOCATION,LOCATION
MACBETH,5,8,The same. Another part of the field.,KNOLL'D,REL,REL
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,THESEUS,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HIPPOLYTA,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,PHILOSTRATE,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,EGEUS,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HERMIA,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,LYSANDER,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,DEMETRIUS,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,KNACKS,TITLE,TITLE
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,ATHENS,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,LYSANDER,REL,REL
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HELENA,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,THE WOOD,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,QUINCE,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,BOTTOM,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,PYRAMUS,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,STARVELING,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,SNOUT,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,THE PALACE,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,PUCK,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,OBERON,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,KNIGHT,REL,REL
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,TITANIA,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,PHILLIDA,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,INDIA,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,THIS WOOD,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,THE FIELD,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,THE FOREST,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,STARVELING,TITLE,TITLE
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,PEASEBLOSSOM,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,COBWEB,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,MOTH,TITLE,TITLE
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,MUSTARDSEED,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,MOTH,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,CAPTAIN,REL,REL
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,ETHIOPE,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,IN FIELD,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,A WOOD,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,CRETE,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,SPARTA,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,THESSALY,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,THE TEMPLE,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,EGYPT,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,THEBES,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,QUAIL,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,DANCE,REL,REL
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,THIS PALACE,LOCATION,LOCATION
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,LEONATO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,HERO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,BEATRICE,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,DON PEDRO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,ARRAGON,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,MESSINA,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,CLAUDIO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,BENEDICK,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,PADUA,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,DON JOHN,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,BALTHASAR,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,VENICE,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,1,2,A room in Leonato's house.,ANTONIO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,3,Another room in Leonato's house.,CONRADE,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,3,Another room in Leonato's house.,BORACHIO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,THE GATE,LOCATION,LOCATION
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,SCOTCH,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,THE CINQUEPACE,LOCATION,LOCATION
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,MARGARET,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,URSULA,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,JOVE,REL,REL
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,PRINCE,REL,REL
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,WOOSS,TITLE,TITLE
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,CHAM,TITLE,TITLE
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,A MERRY HOUR,REL,REL
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,CLAUDIO,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,2,2,Another room in Leonato's house.,DAUGHTER,REL,REL
MUCH ADO ABOUT NOTHING,2,2,Another room in Leonato's house.,"CLAUDIO,—WHOSE",GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,3,1,Leonato's Garden.,THE WOODBINE,LOCATION,LOCATION
MUCH ADO ABOUT NOTHING,3,1,Leonato's Garden.,THE BOWER,LOCATION,LOCATION
