play,act,scene,location,entity_text,label,label_description
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,THESEUS,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HIPPOLYTA,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,PHILOSTRATE,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,EGEUS,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HERMIA,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,LYSANDER,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,DEMETRIUS,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,KNACKS,TITLE,TITLE
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,ATHENS,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,LYSANDER,REL,REL
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,HELENA,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,1,Athens. A room in the Palace of Theseus,THE WOOD,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,QUINCE,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,BOTTOM,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,PYRAMUS,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,STARVELING,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,SNOUT,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,1,2,The Same. A Room in a Cottage,THE PALACE,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,PUCK,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,OBERON,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,KNIGHT,REL,REL
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,TITANIA,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,PHILLIDA,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,INDIA,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,THIS WOOD,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,2,1,A wood near Athens,THE FIELD,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,2,2,Another part of the wood,THE FOREST,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,STARVELING,TITLE,TITLE
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,PEASEBLOSSOM,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,COBWEB,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,MOTH,TITLE,TITLE
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,MUSTARDSEED,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,3,1,The Wood.,MOTH,PERSON,"People, including fictional"
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,CAPTAIN,REL,REL
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,ETHIOPE,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,3,2,Another part of the wood,IN FIELD,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,A WOOD,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,CRETE,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,SPARTA,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,THESSALY,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,4,1,The Wood,THE TEMPLE,LOCATION,LOCATION
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,EGYPT,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,THEBES,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,QUAIL,GPE,"Countries, cities, states"
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,DANCE,REL,REL
A MIDSUMMER NIGHT'S DREAM,5,1,Athens. An Apartment in the Palace of Theseus,THIS PALACE,LOCATION,LOCATION
