play,act,scene,location,entity_text,label,label_description
THE TRAGEDY OF ROMEO AND JULIET,0,0,Prologue,TWO,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,GREGORY,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,MONTAGUE,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,ONE,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,SAMPSON,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,ABRAM,PERSON,PERSON
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,FOUR,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,FIRST,ORDINAL,"""first"", ""second"", etc."
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,CAPULET,FAMILY,FAMILY
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,LADY MONTAGUE,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,BENVOLIO,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,AN HOUR,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,MORROW,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,NINE,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,1,1,A public place.,ROMEO,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,2,A Street.,MAY,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,2,A Street.,PARIS,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,2,A Street.,VALENTIO,PERSON,PERSON
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,TWELVE YEAR OLD,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,JULIET,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,LADY CAPULET,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,FOURTEEN,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,A FORTNIGHT,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,CHRISTIAN,NORP,Nationalities or religious or political groups
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,THE DAYS OF THE YEAR,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,MANTUA,GPE,"Countries, cities, states"
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,ELEVEN YEARS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,A THOUSAND YEARS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,THESE YEARS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,3,Room in Capulet's House.,NIGHT,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,1,4,A Street.,SIX,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,1,4,A Street.,MASKERS,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,4,A Street.,MERCUTIO,PERSON,"People, including fictional"
THE TRAGEDY OF ROMEO AND JULIET,1,4,A Street.,FIVE,CARDINAL,Numerals that do not fall under another type
THE TRAGEDY OF ROMEO AND JULIET,1,4,A Street.,TONIGHT,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,SECOND,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,THE DAY THAT,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,LIGHT,TIME,Times smaller than a day
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,THIRTY YEARS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,SOME FIVE AND TWENTY YEARS,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,THIRTY.,MONEY,"Monetary values, including unit"
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,TWO YEARS AGO,DATE,Absolute or relative dates or periods
THE TRAGEDY OF ROMEO AND JULIET,1,5,A Hall in Capulet's House.,THIS NIGHT,TIME,Times smaller than a day
