act,scene,speaker,sentence,pronoun,resolved_to,gender_group,window_size_used
1,2,DUNCAN,"He can report, As seemeth by his plight, of the revolt The newest state.",He,DUNCAN,male,2
1,2,DUNCAN,"He can report, As seemeth by his plight, of the revolt The newest state.",his,DUNCAN,male,2
1,2,MALCOLM,Say to the King the knowledge of the broil As thou didst leave it.,it,MALCOLM,neutral,5
1,2,SOLDIER,Doubtful it stood; As two spent swimmers that do cling together And choke their art.,it,SOLDIER,neutral,6
1,2,SOLDIER,Doubtful it stood; As two spent swimmers that do cling together And choke their art.,their,SOLDIER,neutral,6
1,2,SOLDIER,"The merciless Macdonwald (Worthy to be a rebel, for to that The multiplying villainies of nature Do swarm upon him) from",him,MALCOLM,male,7
1,2,SOLDIER,"The merciless Macdonwald (Worthy to be a rebel, for to that The multiplying villainies of nature Do swarm upon him) from",his,MALCOLM,male,7
1,2,SOLDIER,"But all's too weak; For brave Macbeth (well he deserves that name), Disdaining Fortune, with his brandish'd steel, Which",he,Macbeth,male,7
1,2,SOLDIER,"But all's too weak; For brave Macbeth (well he deserves that name), Disdaining Fortune, with his brandish'd steel, Which",his,Macbeth,male,7
1,2,SOLDIER,"But all's too weak; For brave Macbeth (well he deserves that name), Disdaining Fortune, with his brandish'd steel, Which",his,Macbeth,male,7
1,2,SOLDIER,"But all's too weak; For brave Macbeth (well he deserves that name), Disdaining Fortune, with his brandish'd steel, Which",he,Macbeth,male,7
1,2,SOLDIER,"But all's too weak; For brave Macbeth (well he deserves that name), Disdaining Fortune, with his brandish'd steel, Which",him,Macbeth,male,7
1,2,SOLDIER,"But all's too weak; For brave Macbeth (well he deserves that name), Disdaining Fortune, with his brandish'd steel, Which",he,Macbeth,male,7
1,2,SOLDIER,"But all's too weak; For brave Macbeth (well he deserves that name), Disdaining Fortune, with his brandish'd steel, Which",him,Macbeth,male,7
1,2,SOLDIER,"But all's too weak; For brave Macbeth (well he deserves that name), Disdaining Fortune, with his brandish'd steel, Which",his,Macbeth,male,7
1,2,SOLDIER,"As whence the sun 'gins his reflection Shipwracking storms and direful thunders break, So from that spring, whence comfo",his,DUNCAN,male,7
1,2,SOLDIER,"Mark, King of Scotland, mark: No sooner justice had, with valour arm'd, Compell'd these skipping kerns to trust their he",their,SOLDIER,neutral,7
1,2,SOLDIER,"If I say sooth, I must report they were As cannons overcharg'd with double cracks; So they Doubly redoubled strokes upon",they,Golgotha,neutral,7
1,2,SOLDIER,"If I say sooth, I must report they were As cannons overcharg'd with double cracks; So they Doubly redoubled strokes upon",they,Golgotha,neutral,7
1,2,SOLDIER,"If I say sooth, I must report they were As cannons overcharg'd with double cracks; So they Doubly redoubled strokes upon",they,Golgotha,neutral,7
1,2,DUNCAN,"So well thy words become thee as thy wounds: They smack of honour both.—Go, get him surgeons.",They,DUNCAN,neutral,7
1,2,DUNCAN,"So well thy words become thee as thy wounds: They smack of honour both.—Go, get him surgeons.",him,DUNCAN,male,7
1,2,LENNOX,What a haste looks through his eyes!,his,LENNOX,male,7
1,2,LENNOX,So should he look That seems to speak things strange.,he,LENNOX,male,7
1,2,ROSS,"Norway himself, with terrible numbers, Assisted by that most disloyal traitor, The Thane of Cawdor, began a dismal confl",himself,ROSS,male,7
1,2,ROSS,"Norway himself, with terrible numbers, Assisted by that most disloyal traitor, The Thane of Cawdor, began a dismal confl",him,ROSS,male,7
1,2,ROSS,"Norway himself, with terrible numbers, Assisted by that most disloyal traitor, The Thane of Cawdor, began a dismal confl",his,ROSS,male,7
1,2,ROSS,"That now Sweno, the Norways' king, craves composition; Nor would we deign him burial of his men Till he disbursed at Sai",him,ROSS,male,7
1,2,ROSS,"That now Sweno, the Norways' king, craves composition; Nor would we deign him burial of his men Till he disbursed at Sai",his,ROSS,male,7
1,2,ROSS,"That now Sweno, the Norways' king, craves composition; Nor would we deign him burial of his men Till he disbursed at Sai",he,ROSS,male,7
1,2,DUNCAN,"Go pronounce his present death, And with his former title greet Macbeth.",his,Macbeth,male,7
1,2,DUNCAN,"Go pronounce his present death, And with his former title greet Macbeth.",his,Macbeth,male,7
1,2,ROSS,I'll see it done.,it,ROSS,neutral,7
