play,from_node,from_label,rel_type,to_node,to_label,extraction_source
MACBETH,LADY MACBETH,PERSON,MEMBER_OF,MACBETH,FAMILY,family_nodes
MACBETH,MACBETH,PERSON,MEMBER_OF,MACBETH,FAMILY,family_nodes
MACBETH,DUNCAN,PERSON,KING_OF,Scotland,GPE,cast_list
MACBETH,MACDUFF,PERSON,NOBLEMAN_OF,Scotland,GPE,cast_list
MACBETH,LENNOX,PERSON,NOBLEMAN_OF,Scotland,GPE,cast_list
MACBETH,ROSS,PERSON,NOBLEMAN_OF,Scotland,GPE,cast_list
MACBETH,MENTEITH,PERSON,NOBLEMAN_OF,Scotland,GPE,cast_list
MACBETH,ANGUS,PERSON,NOBLEMAN_OF,Scotland,GPE,cast_list
MACBETH,CAITHNESS,PERSON,NOBLEMAN_OF,Scotland,GPE,cast_list
MACBETH,FLEANCE,PERSON,SON_TO,Banquo,PERSON,cast_list
MACBETH,SIWARD,PERSON,EARL_OF,Northumberland,GPE,cast_list
MACBETH,SEYTON,PERSON,AN_OFFICER_ATTENDING_ON,Macbeth,PERSON,cast_list
MACBETH,BOY,PERSON,SON_TO,Macduff,PERSON,cast_list
MACBETH,MACBETH,PERSON,MARRIED_TO,LADY MACBETH,PERSON,play_configs
MACBETH,MACDUFF,PERSON,MARRIED_TO,LADY MACDUFF,PERSON,play_configs
MACBETH,FLEANCE,PERSON,SON_OF,BANQUO,PERSON,play_configs
MACBETH,MALCOLM,PERSON,SON_OF,DUNCAN,PERSON,play_configs
MACBETH,DONALBAIN,PERSON,SON_OF,DUNCAN,PERSON,play_configs
MACBETH,BOY,PERSON,SON_OF,MACDUFF,PERSON,play_configs
MACBETH,YOUNG SIWARD,PERSON,SON_OF,SIWARD,PERSON,play_configs
MACBETH,MACBETH,PERSON,KILLS,DUNCAN,PERSON,play_configs
MACBETH,MACBETH,PERSON,KILLS,BANQUO,PERSON,play_configs
MACBETH,MACBETH,PERSON,KILLS,YOUNG SIWARD,PERSON,play_configs
MACBETH,MACDUFF,PERSON,KILLS,MACBETH,PERSON,play_configs
MACBETH,MACBETH,PERSON,KILLS_OFFSTAGE,LADY MACDUFF,PERSON,play_configs
MACBETH,MACBETH,PERSON,KILLS_OFFSTAGE,BOY,PERSON,play_configs
MACBETH,LADY MACBETH,PERSON,KILLS_OFFSTAGE,DUNCAN,PERSON,play_configs
MACBETH,MACBETH,PERSON,LOYAL_TO,DUNCAN,PERSON,play_configs
MACBETH,MACBETH,PERSON,BETRAYS,DUNCAN,PERSON,play_configs
MACBETH,BANQUO,PERSON,LOYAL_TO,DUNCAN,PERSON,play_configs
MACBETH,MACDUFF,PERSON,LOYAL_TO,MALCOLM,PERSON,play_configs
MACBETH,ROSS,PERSON,LOYAL_TO,DUNCAN,PERSON,play_configs
MACBETH,DUNCAN,PERSON,RULES,Scotland,GPE,play_configs
MACBETH,MACBETH,PERSON,RULES,Scotland,GPE,play_configs
MACBETH,MALCOLM,PERSON,RULES,Scotland,GPE,play_configs
MACBETH,SIWARD,PERSON,RULES,Northumberland,GPE,play_configs
MACBETH,MACBETH,PERSON,HOLDS_TITLE,Thane of Glamis,TITLE,play_configs
MACBETH,MACBETH,PERSON,HOLDS_TITLE,Thane of Cawdor,TITLE,play_configs
MACBETH,MACBETH,PERSON,HOLDS_TITLE,King of Scotland,TITLE,play_configs
MACBETH,DUNCAN,PERSON,HOLDS_TITLE,King of Scotland,TITLE,play_configs
MACBETH,MACDUFF,PERSON,HOLDS_TITLE,Thane of Fife,TITLE,play_configs
MACBETH,SIWARD,PERSON,HOLDS_TITLE,Earl of Northumberland,TITLE,play_configs
MACBETH,Inverness,GPE,LOCATED_IN,Scotland,GPE,play_configs
MACBETH,Forres,GPE,LOCATED_IN,Scotland,GPE,play_configs
MACBETH,Fife,GPE,LOCATED_IN,Scotland,GPE,play_configs
MACBETH,Dunsinane,GPE,LOCATED_IN,Scotland,GPE,play_configs
MACBETH,Birnam Wood,GPE,LOCATED_IN,Scotland,GPE,play_configs
MACBETH,MACBETH,PERSON,KNOWS,BANQUO,PERSON,auto_extracted
MACBETH,BANQUO,PERSON,KNOWS,MACBETH,PERSON,auto_extracted
MACBETH,BANQUO,PERSON,KNOWS,ROSS,PERSON,auto_extracted
MACBETH,ROSS,PERSON,KNOWS,BANQUO,PERSON,auto_extracted
MACBETH,LADY MACBETH,PERSON,KNOWS,MACBETH,PERSON,auto_extracted
MACBETH,MACBETH,PERSON,KNOWS,LADY MACBETH,PERSON,auto_extracted
MACBETH,MACBETH,PERSON,KNOWS,MACDUFF,PERSON,auto_extracted
MACBETH,MACDUFF,PERSON,KNOWS,MACBETH,PERSON,auto_extracted
MACBETH,MACDUFF,PERSON,KNOWS,LADY MACBETH,PERSON,auto_extracted
MACBETH,LADY MACBETH,PERSON,KNOWS,MACDUFF,PERSON,auto_extracted
MACBETH,LADY MACBETH,PERSON,KNOWS,BANQUO,PERSON,auto_extracted
MACBETH,BANQUO,PERSON,KNOWS,LADY MACBETH,PERSON,auto_extracted
