play,from_node,from_label,rel_type,to_node,to_label,extraction_source
A MIDSUMMER NIGHT'S DREAM,THESEUS,PERSON,DUKE_OF,Athens,GPE,cast_list
A MIDSUMMER NIGHT'S DREAM,HIPPOLYTA,PERSON,QUEEN_OF,the Amazons,GPE,cast_list
A MIDSUMMER NIGHT'S DREAM,EGEUS,PERSON,FATHER_TO,Hermia,PERSON,cast_list
A MIDSUMMER NIGHT'S DREAM,HERMIA,PERSON,DAUGHTER_TO,Egeus,PERSON,cast_list
A MIDSUMMER NIGHT'S DREAM,HELENA,PERSON,IN_LOVE_WITH,Demetrius,PERSON,cast_list
A MIDSUMMER NIGHT'S DREAM,LYSANDER,PERSON,IN_LOVE_WITH,Hermia,PERSON,cast_list
A MIDSUMMER NIGHT'S DREAM,DEMETRIUS,PERSON,IN_LOVE_WITH,Hermia,PERSON,cast_list
A MIDSUMMER NIGHT'S DREAM,PHILOSTRATE,PERSON,MASTER_OF,the Revels to Theseus,GPE,cast_list
A MIDSUMMER NIGHT'S DREAM,OBERON,PERSON,KING_OF,the Fairies,GPE,cast_list
A MIDSUMMER NIGHT'S DREAM,TITANIA,PERSON,QUEEN_OF,the Fairies,GPE,cast_list
A MIDSUMMER NIGHT'S DREAM,THESEUS,PERSON,MARRIED_TO,HIPPOLYTA,PERSON,play_configs
A MIDSUMMER NIGHT'S DREAM,OBERON,PERSON,MARRIED_TO,TITANIA,PERSON,play_configs
A MIDSUMMER NIGHT'S DREAM,HERMIA,PERSON,DAUGHTER_OF,EGEUS,PERSON,play_configs
A MIDSUMMER NIGHT'S DREAM,LYSANDER,PERSON,LOVES,HERMIA,PERSON,play_configs
A MIDSUMMER NIGHT'S DREAM,DEMETRIUS,PERSON,LOVES,HERMIA,PERSON,play_configs
A MIDSUMMER NIGHT'S DREAM,DEMETRIUS,PERSON,LOVES,HELENA,PERSON,play_configs
A MIDSUMMER NIGHT'S DREAM,HELENA,PERSON,LOVES,DEMETRIUS,PERSON,play_configs
A MIDSUMMER NIGHT'S DREAM,HERMIA,PERSON,LOVES,LYSANDER,PERSON,play_configs
A MIDSUMMER NIGHT'S DREAM,TITANIA,PERSON,LOVES,BOTTOM,PERSON,play_configs
A MIDSUMMER NIGHT'S DREAM,PUCK,PERSON,SERVES,OBERON,PERSON,play_configs
A MIDSUMMER NIGHT'S DREAM,THESEUS,PERSON,RULES,Athens,GPE,play_configs
A MIDSUMMER NIGHT'S DREAM,OBERON,PERSON,RULES,Fairy Kingdom,LOCATION,play_configs
A MIDSUMMER NIGHT'S DREAM,THESEUS,PERSON,HOLDS_TITLE,Duke of Athens,TITLE,play_configs
A MIDSUMMER NIGHT'S DREAM,HIPPOLYTA,PERSON,HOLDS_TITLE,Queen of the Amazons,TITLE,play_configs
A MIDSUMMER NIGHT'S DREAM,OBERON,PERSON,HOLDS_TITLE,King of the Fairies,TITLE,play_configs
A MIDSUMMER NIGHT'S DREAM,TITANIA,PERSON,HOLDS_TITLE,Queen of the Fairies,TITLE,play_configs
A MIDSUMMER NIGHT'S DREAM,TITANIA,PERSON,KNOWS,THESEUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,THESEUS,PERSON,KNOWS,HIPPOLYTA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,HIPPOLYTA,PERSON,KNOWS,THESEUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,THESEUS,PERSON,KNOWS,EGEUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,EGEUS,PERSON,KNOWS,THESEUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,THESEUS,PERSON,KNOWS,HERMIA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,HERMIA,PERSON,KNOWS,THESEUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,THESEUS,PERSON,KNOWS,DEMETRIUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,DEMETRIUS,PERSON,KNOWS,THESEUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,DEMETRIUS,PERSON,KNOWS,LYSANDER,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,LYSANDER,PERSON,KNOWS,DEMETRIUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,LYSANDER,PERSON,KNOWS,EGEUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,EGEUS,PERSON,KNOWS,LYSANDER,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,LYSANDER,PERSON,KNOWS,THESEUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,THESEUS,PERSON,KNOWS,LYSANDER,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,LYSANDER,PERSON,KNOWS,HERMIA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,HERMIA,PERSON,KNOWS,LYSANDER,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,HERMIA,PERSON,KNOWS,HELENA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,HELENA,PERSON,KNOWS,HERMIA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,LYSANDER,PERSON,KNOWS,HELENA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,HELENA,PERSON,KNOWS,LYSANDER,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,QUINCE,PERSON,KNOWS,BOTTOM,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,BOTTOM,PERSON,KNOWS,QUINCE,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,QUINCE,PERSON,KNOWS,FLUTE,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,FLUTE,PERSON,KNOWS,QUINCE,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,QUINCE,PERSON,KNOWS,STARVELING,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,STARVELING,PERSON,KNOWS,QUINCE,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,PUCK,PERSON,KNOWS,OBERON,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,OBERON,PERSON,KNOWS,PUCK,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,OBERON,PERSON,KNOWS,TITANIA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,TITANIA,PERSON,KNOWS,OBERON,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,OBERON,PERSON,KNOWS,DEMETRIUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,DEMETRIUS,PERSON,KNOWS,OBERON,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,DEMETRIUS,PERSON,KNOWS,HELENA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,HELENA,PERSON,KNOWS,DEMETRIUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,HELENA,PERSON,KNOWS,OBERON,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,OBERON,PERSON,KNOWS,HELENA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,OBERON,PERSON,KNOWS,LYSANDER,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,LYSANDER,PERSON,KNOWS,OBERON,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,HERMIA,PERSON,KNOWS,PUCK,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,PUCK,PERSON,KNOWS,HERMIA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,PUCK,PERSON,KNOWS,HELENA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,HELENA,PERSON,KNOWS,PUCK,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,BOTTOM,PERSON,KNOWS,STARVELING,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,STARVELING,PERSON,KNOWS,BOTTOM,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,QUINCE,PERSON,KNOWS,PUCK,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,PUCK,PERSON,KNOWS,QUINCE,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,QUINCE,PERSON,KNOWS,PYRAMUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,PYRAMUS,PERSON,KNOWS,QUINCE,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,PYRAMUS,PERSON,KNOWS,PUCK,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,PUCK,PERSON,KNOWS,PYRAMUS,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,PUCK,PERSON,KNOWS,BOTTOM,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,BOTTOM,PERSON,KNOWS,PUCK,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,BOTTOM,PERSON,KNOWS,TITANIA,PERSON,auto_extracted
A MIDSUMMER NIGHT'S DREAM,TITANIA,PERSON,KNOWS,BOTTOM,PERSON,auto_extracted
