play,from_node,from_label,rel_type,to_node,to_label,extraction_source
MUCH ADO ABOUT NOTHING,DON PEDRO,PERSON,PRINCE_OF,Arragon,GPE,cast_list
MUCH ADO ABOUT NOTHING,CLAUDIO,PERSON,A_YOUNG_LORD_OF,Florence,GPE,cast_list
MUCH ADO ABOUT NOTHING,BENEDICK,PERSON,A_YOUNG_LORD_OF,Padua,GPE,cast_list
MUCH ADO ABOUT NOTHING,LEONATO,PERSON,GOVERNOR_OF,Messina,GPE,cast_list
MUCH ADO ABOUT NOTHING,BALTHASAR,PERSON,SERVANT_TO,Don Pedro,PERSON,cast_list
MUCH ADO ABOUT NOTHING,BORACHIO,PERSON,FOLLOWER_OF,Don John,PERSON,cast_list
MUCH ADO ABOUT NOTHING,CONRADE,PERSON,FOLLOWER_OF,Don John,PERSON,cast_list
MUCH ADO ABOUT NOTHING,HERO,PERSON,DAUGHTER_TO,Leonato,PERSON,cast_list
MUCH ADO ABOUT NOTHING,BEATRICE,PERSON,NIECE_TO,Leonato,PERSON,cast_list
MUCH ADO ABOUT NOTHING,MARGARET,PERSON,WAITING_GENTLEWOMAN_ATTENDING_ON,Hero,PERSON,cast_list
MUCH ADO ABOUT NOTHING,URSULA,PERSON,WAITING_GENTLEWOMAN_ATTENDING_ON,Hero,PERSON,cast_list
MUCH ADO ABOUT NOTHING,BENEDICK,PERSON,MARRIED_TO,BEATRICE,PERSON,play_configs
MUCH ADO ABOUT NOTHING,CLAUDIO,PERSON,MARRIED_TO,HERO,PERSON,play_configs
MUCH ADO ABOUT NOTHING,HERO,PERSON,DAUGHTER_OF,LEONATO,PERSON,play_configs
MUCH ADO ABOUT NOTHING,BEATRICE,PERSON,NIECE_OF,LEONATO,PERSON,play_configs
MUCH ADO ABOUT NOTHING,ANTONIO,PERSON,BROTHER_OF,LEONATO,PERSON,play_configs
MUCH ADO ABOUT NOTHING,DON JOHN,PERSON,BROTHER_OF,DON PEDRO,PERSON,play_configs
MUCH ADO ABOUT NOTHING,BENEDICK,PERSON,LOVES,BEATRICE,PERSON,play_configs
MUCH ADO ABOUT NOTHING,BEATRICE,PERSON,LOVES,BENEDICK,PERSON,play_configs
MUCH ADO ABOUT NOTHING,CLAUDIO,PERSON,LOVES,HERO,PERSON,play_configs
MUCH ADO ABOUT NOTHING,DON JOHN,PERSON,DECEIVES,CLAUDIO,PERSON,play_configs
MUCH ADO ABOUT NOTHING,BORACHIO,PERSON,ALLIES_WITH,DON JOHN,PERSON,play_configs
MUCH ADO ABOUT NOTHING,CONRADE,PERSON,ALLIES_WITH,DON JOHN,PERSON,play_configs
MUCH ADO ABOUT NOTHING,DON PEDRO,PERSON,RULES,Arragon,GPE,play_configs
MUCH ADO ABOUT NOTHING,LEONATO,PERSON,RULES,Messina,GPE,play_configs
MUCH ADO ABOUT NOTHING,DON PEDRO,PERSON,HOLDS_TITLE,Prince of Arragon,TITLE,play_configs
MUCH ADO ABOUT NOTHING,LEONATO,PERSON,HOLDS_TITLE,Governor of Messina,TITLE,play_configs
MUCH ADO ABOUT NOTHING,DOGBERRY,PERSON,HOLDS_TITLE,Constable,TITLE,play_configs
MUCH ADO ABOUT NOTHING,Messina,GPE,LOCATED_IN,Italy,GPE,play_configs
MUCH ADO ABOUT NOTHING,Florence,GPE,LOCATED_IN,Italy,GPE,play_configs
MUCH ADO ABOUT NOTHING,Padua,GPE,LOCATED_IN,Italy,GPE,play_configs
MUCH ADO ABOUT NOTHING,Arragon,GPE,LOCATED_IN,Italy,GPE,play_configs
